STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON,TOTAL
TN,Chennai,Chennai,Chennai,13.08333333,80.27083333,Vepery,Dug Well,W01783,2008,4.85,6.8,4.67,5.51,21.83
TN,Chennai,Chennai,Chennai,13.02222222,80.225,Guindy(CLRI),Bore Well,W01768,2008,4.69,1.08,2.36,4.1,12.23
TN,Chennai,Chennai,Chennai,13.025,80.25833333,Alwarpet,Dug Well,W01764,2008,2.78,1.75,NA,3.12,7.65
TN,Chennai,Chennai,Chennai,13.06666667,80.22777778,Aminjikarai,Dug Well,W01765,2007,7.17,5.32,5.43,8.05,25.97
TN,Chennai,Chennai,Chennai,13.05555556,80.28138889,Chepauk (A),Dug Well,W20975,2007,1.9,'0.45,'0.63,4.34,6.24
TN,Chennai,Chennai,Chennai,13.02222222,80.225,Guindy(CLRI),Bore Well,W01768,2007,5.37,3.7,NA,6.98,16.05
TN,Chennai,Chennai,Chennai,13.00138889,80.27,Besant Nagar,Dug Well,W01766,2007,4.36,2.8,3.48,5.2,15.84
TN,Chennai,Chennai,Chennai,13.07777778,80.22916667,Thiyagarayanagar,Dug Well,W01777,2007,4.1,2.82,2.5,4.9,14.32
TN,Chennai,Chennai,Chennai,13.025,80.25833333,Alwarpet,Dug Well,W01764,2007,2.6,2.2,1.45,4.03,10.28
TN,Chennai,Chennai,Chennai,13.10138889,80.22777778,Villivakkam,Dug Well,W01784,2007,1.32,1.63,'0.12,3.5,6.45
TN,Chennai,Chennai,Chennai,13.10555556,80.28138889,Vallalar Nagar,Dug Well,W20976,2007,4.05,2.85,3.32,4.24,14.46
TN,Chennai,Chennai,Chennai,13.08333333,80.27083333,Vepery,Dug Well,W01783,2007,2.71,3.88,'0.18,8.1,14.69
TN,Chennai,Chennai,Chennai,13.11666667,80.275,Tondiarpet-2,Dug Well,W18421,2007,3.8,2.6,3.12,2.9,12.42
TN,Chennai,Chennai,Chennai,13.06666667,80.22777778,Aminjikarai,Dug Well,W01765,2006,7.95,6.97,4.79,7.72,27.43
TN,Chennai,Chennai,Chennai,13.00138889,80.27,Besant Nagar,Dug Well,W01766,2006,4.86,4.2,2.67,4.47,16.2
TN,Chennai,Chennai,Chennai,13.025,80.25833333,Alwarpet,Dug Well,W01764,2006,3.1,3.6,'0.6,3.16,9.86
TN,Chennai,Chennai,Chennai,13.0625,80.27916667,Chepauk,Dug Well,W01767,2006,NA,2.3,NA,2.5,4.8
TN,Chennai,Chennai,Chennai,13.11666667,80.275,Tondiarpet-2,Dug Well,W18421,2006,3.08,2.09,2.44,2.56,10.17
TN,Chennai,Chennai,Chennai,13.10555556,80.28138889,Vallalar Nagar,Dug Well,W20976,2006,4.07,NA,3.15,NA,7.22
TN,Chennai,Chennai,Chennai,13.10138889,80.22777778,Villivakkam,Dug Well,W01784,2006,2.8,1.56,'0.01,2.2,6.56
TN,Chennai,Chennai,Chennai,13.05555556,80.28138889,Chepauk (A),Dug Well,W20975,2006,'0.53,NA,'0.85,NA,0
TN,Chennai,Chennai,Chennai,13.02222222,80.225,Guindy(CLRI),Bore Well,W01768,2006,7.3,3.7,'0.2,9.43,20.43
TN,Chennai,Chennai,Chennai,13.07777778,80.22916667,Thiyagarayanagar,Dug Well,W01777,2006,4.1,3.47,1.26,4.06,12.89
TN,Chennai,Chennai,Chennai,13.08333333,80.27083333,Vepery,Dug Well,W01783,2006,6.6,1.6,3,5.09,16.29
TN,Chennai,Chennai,Chennai,13.00138889,80.27,Besant Nagar,Dug Well,W01766,2005,NA,NA,3.26,7.25,10.51
TN,Chennai,Chennai,Chennai,13.06666667,80.22777778,Aminjikarai,Dug Well,W01765,2005,12.17,12.14,7.97,12.17,44.45
TN,Chennai,Chennai,Chennai,13.025,80.25833333,Alwarpet,Dug Well,W01764,2005,3.5,3.97,'0.66,3.93,11.4
TN,Chennai,Chennai,Chennai,13.11666667,80.275,Tondiarpet-2,Dug Well,W18421,2005,7.8,5.7,1.85,6.3,21.65
TN,Chennai,Chennai,Chennai,13.10138889,80.22777778,Villivakkam,Dug Well,W01784,2005,4.12,4.12,'0.02,5.03,13.27
TN,Chennai,Chennai,Chennai,13.08333333,80.27083333,Vepery,Dug Well,W01783,2005,6.23,6.06,'0.05,6.4,18.69
TN,Chennai,Chennai,Chennai,13.11666667,80.26666667,Tondiarpet-1,Dug Well,W01780,2005,NA,4.71,2.36,6.26,13.33
TN,Chennai,Chennai,Chennai,13.05833333,80.25972222,Thousand Lights,Dug Well,W01778,2005,NA,6.1,NA,6.43,12.53
TN,Chennai,Chennai,Chennai,13.07777778,80.22916667,Thiyagarayanagar,Dug Well,W01777,2005,10.85,10.89,4.57,10.85,37.16
TN,Chennai,Chennai,Chennai,13.12083333,80.26666667,Perambur,Dug Well,W01773,2005,NA,NA,NA,10.6,10.6
TN,Chennai,Chennai,Chennai,13.05,80.21666667,Kodambakkam,Dug Well,W01771,2005,NA,10.06,NA,9.65,19.71
TN,Chennai,Chennai,Chennai,13.02222222,80.225,Guindy(CLRI),Bore Well,W01768,2005,NA,7.2,2.9,9.16,19.26
TN,Chennai,Chennai,Chennai,13.0625,80.27916667,Chepauk,Dug Well,W01767,2005,2.21,1.79,'0.91,2.42,6.42
TN,Chennai,Chennai,Chennai,13.025,80.26916667,Mandaveli,Dug Well,W01772,2004,NA,4.65,NA,6.85,11.5
TN,Chennai,Chennai,Chennai,13.08333333,80.27083333,Vepery,Dug Well,W01783,2004,5.03,3.1,5.39,6.11,19.63
TN,Chennai,Chennai,Chennai,13.11666667,80.26666667,Tondiarpet-1,Dug Well,W01780,2004,6,5.3,5.5,6,22.8
TN,Chennai,Chennai,Chennai,13.02222222,80.225,Guindy(CLRI),Bore Well,W01768,2004,10.04,10.4,6.1,5.81,32.35
TN,Chennai,Chennai,Chennai,13.12083333,80.26666667,Perambur,Dug Well,W01773,2004,NA,11.8,NA,10.6,22.4
TN,Chennai,Chennai,Chennai,13.05833333,80.25972222,Thousand Lights,Dug Well,W01778,2004,5.69,5.9,5.65,6.32,23.56
TN,Chennai,Chennai,Chennai,13.06666667,80.22777778,Aminjikarai,Dug Well,W01765,2004,11.06,9.27,11.32,11.48,43.13
TN,Chennai,Chennai,Chennai,13.00555556,80.24861111,Taramani,Dug Well,W01776,2004,3.24,2.74,NA,7.14,13.12
TN,Chennai,Chennai,Chennai,13.05,80.21666667,Kodambakkam,Dug Well,W01771,2004,9.65,6.95,7.82,9.65,34.07
TN,Chennai,Chennai,Chennai,13.03333333,80.28055556,Santhome,Dug Well,W01775,2004,2.82,4.2,NA,4.2,11.22
TN,Chennai,Chennai,Chennai,13.0625,80.27916667,Chepauk,Dug Well,W01767,2004,2.3,2,NA,2.71,7.01
TN,Chennai,Chennai,Chennai,13.10138889,80.22777778,Villivakkam,Dug Well,W01784,2004,4.15,4.92,3.1,4.65,16.82
TN,Chennai,Chennai,Chennai,13.025,80.25833333,Alwarpet,Dug Well,W01764,2004,4.06,6.5,2.93,8.2,21.69
TN,Chennai,Chennai,Chennai,13.07777778,80.22916667,Thiyagarayanagar,Dug Well,W01777,2004,10.85,10.6,10.72,10.85,43.02
TN,Chennai,Chennai,Chennai,13.00555556,80.24861111,Taramani,Dug Well,W01776,2003,2.74,NA,6.85,3.79,13.38
TN,Chennai,Chennai,Chennai,13.07777778,80.22916667,Thiyagarayanagar,Dug Well,W01777,2003,9.59,NA,10.64,8.95,29.18
TN,Chennai,Chennai,Chennai,13.05833333,80.25972222,Thousand Lights,Dug Well,W01778,2003,6.3,NA,5.3,7.83,19.43
TN,Chennai,Chennai,Chennai,13.11666667,80.26666667,Tondiarpet-1,Dug Well,W01780,2003,5.14,NA,5.4,3.89,14.43
TN,Chennai,Chennai,Chennai,13.08333333,80.27083333,Vepery,Dug Well,W01783,2003,3.12,NA,2.7,3.05,8.87
TN,Chennai,Chennai,Chennai,13.10138889,80.22777778,Villivakkam,Dug Well,W01784,2003,4.45,NA,4.12,4.05,12.62
TN,Chennai,Chennai,Chennai,13.025,80.25833333,Alwarpet,Dug Well,W01764,2003,5.6,NA,2.87,4.78,13.25
TN,Chennai,Chennai,Chennai,13.06666667,80.22777778,Aminjikarai,Dug Well,W01765,2003,NA,NA,8.97,NA,8.97
TN,Chennai,Chennai,Chennai,13.0625,80.27916667,Chepauk,Dug Well,W01767,2003,2.73,NA,3.9,2.45,9.08
TN,Chennai,Chennai,Chennai,13.02222222,80.225,Guindy(CLRI),Bore Well,W01768,2003,8.74,NA,9.19,8.45,26.38
TN,Chennai,Chennai,Chennai,13.05,80.21666667,Kodambakkam,Dug Well,W01771,2003,7.96,NA,5.07,7.27,20.3
TN,Chennai,Chennai,Chennai,13.025,80.26916667,Mandaveli,Dug Well,W01772,2003,4.1,NA,3.75,3.51,11.36
TN,Chennai,Chennai,Chennai,13.12083333,80.26666667,Perambur,Dug Well,W01773,2003,NA,NA,6,NA,6
TN,Chennai,Chennai,Chennai,13.03333333,80.28055556,Santhome,Dug Well,W01775,2003,2.45,NA,2.49,3.69,8.63
TN,Chennai,Chennai,Chennai,13.05833333,80.25972222,Thousand Lights,Dug Well,W01778,2002,6,5.6,5.7,6.04,23.34
TN,Chennai,Chennai,Chennai,13.06666667,80.22777778,Aminjikarai,Dug Well,W01765,2002,9,NA,-0.86,8.47,16.61
TN,Chennai,Chennai,Chennai,13.025,80.25833333,Alwarpet,Dug Well,W01764,2002,3.39,2.99,3.47,3.73,13.58
TN,Chennai,Chennai,Chennai,13.03333333,80.28055556,Santhome,Dug Well,W01775,2002,2.23,2.74,1.66,3.42,10.05
TN,Chennai,Chennai,Chennai,13.0625,80.27916667,Chepauk,Dug Well,W01767,2002,1.7,2,'0.55,2.67,6.37
TN,Chennai,Chennai,Chennai,13.10138889,80.22777778,Villivakkam,Dug Well,W01784,2002,4.04,1.47,'0.6,3.94,9.45
TN,Chennai,Chennai,Chennai,13.12083333,80.26666667,Perambur,Dug Well,W01773,2002,NA,NA,NA,6.4,6.4
TN,Chennai,Chennai,Chennai,13.00555556,80.24861111,Taramani,Dug Well,W01776,2002,1.85,3.27,1.33,3.85,10.3
TN,Chennai,Chennai,Chennai,13.11666667,80.26666667,Tondiarpet-1,Dug Well,W01780,2002,4.47,4.36,3.8,4.27,16.9
TN,Chennai,Chennai,Chennai,13.05,80.21666667,Kodambakkam,Dug Well,W01771,2002,7.79,8.08,5.86,7.61,29.34
TN,Chennai,Chennai,Chennai,13.07777778,80.22916667,Thiyagarayanagar,Dug Well,W01777,2002,9.24,8.02,5.84,8.91,32.01
TN,Chennai,Chennai,Chennai,13.08333333,80.27083333,Vepery,Dug Well,W01783,2002,3.1,5.1,'0.1,4.55,12.75
TN,Chennai,Chennai,Chennai,13.02222222,80.225,Guindy(CLRI),Bore Well,W01768,2002,NA,NA,4.2,NA,4.2
TN,Chennai,Chennai,Chennai,13.025,80.26916667,Mandaveli,Dug Well,W01772,2002,3.75,2.45,'0.77,3.68,9.88
TN,Chennai,Chennai,Chennai,13.06666667,80.22777778,Aminjikarai,Dug Well,W01765,2001,NA,NA,NA,NA,0
TN,Chennai,Chennai,Chennai,13.025,80.25833333,Alwarpet,Dug Well,W01764,2001,4.17,4.05,2.87,3.79,14.88
TN,Chennai,Chennai,Chennai,13.10138889,80.22777778,Villivakkam,Dug Well,W01784,2001,4.29,3.94,1.42,5.88,15.53
TN,Chennai,Chennai,Chennai,13.08333333,80.27083333,Vepery,Dug Well,W01783,2001,6.49,6.27,4.6,6.59,23.95
TN,Chennai,Chennai,Chennai,13.11666667,80.26666667,Tondiarpet-1,Dug Well,W01780,2001,NA,5.65,3.9,NA,9.55
TN,Chennai,Chennai,Chennai,13.05833333,80.25972222,Thousand Lights,Dug Well,W01778,2001,6.32,6.49,4.9,6.63,24.34
TN,Chennai,Chennai,Chennai,13.07777778,80.22916667,Thiyagarayanagar,Dug Well,W01777,2001,10.39,10.84,9.04,10.34,40.61
TN,Chennai,Chennai,Chennai,13.00555556,80.24861111,Taramani,Dug Well,W01776,2001,3.51,2.02,1.53,1.92,8.98
TN,Chennai,Chennai,Chennai,13.03333333,80.28055556,Santhome,Dug Well,W01775,2001,2.81,3.06,1.78,3.91,11.56
TN,Chennai,Chennai,Chennai,13.12083333,80.26666667,Perambur,Dug Well,W01773,2001,NA,NA,NA,NA,0
